account_id,company_name,industry,country,region,employees,revenue_band,account_tier
ACC-00091,"Turner, Riggs and Roman",Agriculture,Australia,APAC,50,$250M-$1B,Tier 2
ACC-00092,"Smith, Montoya and Evans",Professional Services,Saudi Arabia,AMEA,5000,<$10M,Tier 1
ACC-00093,"Garcia, Humphrey and Baker",Education,Italy,Europe,25,$1B+,Tier 2
ACC-00094,Newton and Sons,Technology,Netherlands,Europe,500,$250M-$1B,Tier 2
ACC-00095,Campbell-Clark,Education,Australia,APAC,500,$250M-$1B,Tier 2
ACC-00096,Harris-Walters,Education,India,WW,5000,$10M-$50M,Tier 2
ACC-00097,Wagner-King,Professional Services,India,APAC,5000,$1B+,Tier 3
ACC-00098,Davis Group,Technology,Australia,WW,100,$250M-$1B,Tier 1
ACC-00099,Williams-Cook,Manufacturing,Australia,WW,1000,$10M-$50M,Tier 2
ACC-00100,Walsh LLC,Manufacturing,Saudi Arabia,AMEA,500,$250M-$1B,Tier 2
ACC-00101,Figueroa PLC,Education,United States,WW,25,$50M-$250M,Tier 1
ACC-00102,"Patterson, Smith and Jones",Agriculture,United States,WW,25,$10M-$50M,Tier 1
ACC-00103,"Mckee, Gardner and Davenport",Professional Services,United Kingdom,WW,250,$10M-$50M,Tier 2
ACC-00104,"Tran, Jordan and Williams",Professional Services,United Kingdom,WW,10000,$50M-$250M,Tier 2
ACC-00105,Nolan-Flynn,Professional Services,India,APAC,100,$50M-$250M,Tier 1
ACC-00106,Nolan and Sons,Manufacturing,Germany,WW,5000,$250M-$1B,Tier 3
ACC-00107,"Wright, Garcia and Deleon",Technology,Australia,APAC,50,$50M-$250M,Tier 3
ACC-00108,Dickson-Brady,Professional Services,United States,WW,1000,$1B+,Tier 2
ACC-00109,Hancock and Sons,Technology,Kenya,AMEA,25,$250M-$1B,Tier 2
ACC-00110,Johnson-Doyle,Education,India,WW,10000,$10M-$50M,Tier 2
ACC-00111,Patton-Jenkins,Agriculture,Singapore,APAC,10000,$250M-$1B,Tier 2
ACC-00112,"Shields, Cochran and Adams",Manufacturing,South Africa,AMEA,50,$50M-$250M,Tier 2
ACC-00113,"Rodriguez, Brennan and Garrison",Education,Japan,APAC,1000,<$10M,Tier 2
ACC-00114,Gonzalez Group,Financial Services,Saudi Arabia,AMEA,250,$50M-$250M,Tier 2
ACC-00115,Torres-Pope,Manufacturing,Kenya,AMEA,25,$1B+,Tier 1
ACC-00116,Walker Ltd,Financial Services,Australia,WW,10000,$1B+,Tier 1
ACC-00117,Ross LLC,Agriculture,Spain,Europe,10000,<$10M,Tier 1
ACC-00118,Rasmussen LLC,Financial Services,Saudi Arabia,AMEA,250,$50M-$250M,Tier 3
ACC-00119,May-Ross,Education,Kenya,AMEA,5000,$1B+,Tier 2
ACC-00120,"Rivera, Johnson and Wiley",Agriculture,Saudi Arabia,AMEA,500,$50M-$250M,Tier 2
ACC-00121,White-Estes,Technology,Australia,APAC,1000,<$10M,Tier 3
ACC-00122,Johnson-Carlson,Financial Services,Australia,APAC,10000,$50M-$250M,Tier 3
ACC-00123,Chandler-Edwards,Technology,South Africa,AMEA,500,$10M-$50M,Tier 2
ACC-00124,"Joyce, Wilson and Lam",Manufacturing,India,APAC,100,$50M-$250M,Tier 1
ACC-00125,Scott Ltd,Professional Services,India,WW,100,$250M-$1B,Tier 1
ACC-00126,Smith-Frost,Professional Services,India,WW,10000,$250M-$1B,Tier 2
ACC-00127,"Mcdaniel, Bentley and Mclaughlin",Financial Services,United Arab Emirates,AMEA,500,$250M-$1B,Tier 1
ACC-00128,Diaz Inc,Education,Australia,WW,50,$1B+,Tier 3
ACC-00129,"Mccall, Hanson and Alvarado",Financial Services,United Kingdom,WW,500,<$10M,Tier 1
ACC-00130,Cortez LLC,Professional Services,Australia,WW,250,$1B+,Tier 2
ACC-00131,"Parker, Ortiz and Powell",Education,Netherlands,Europe,5000,$50M-$250M,Tier 3
ACC-00132,Spencer-Lee,Professional Services,United States,WW,250,$10M-$50M,Tier 2
ACC-00133,"Bentley, Byrd and Orr",Financial Services,United Kingdom,WW,100,$1B+,Tier 1
ACC-00134,"Carroll, Sullivan and Bass",Technology,Japan,APAC,10000,$1B+,Tier 2
ACC-00135,Mitchell-Jordan,Technology,South Africa,AMEA,500,$50M-$250M,Tier 3
ACC-00136,"Lawson, Morris and Ramos",Technology,France,Europe,500,$1B+,Tier 3
ACC-00137,"Lewis, Kennedy and Santana",Education,India,APAC,250,$10M-$50M,Tier 2
ACC-00138,"Jackson, Miller and Robertson",Technology,India,APAC,100,$50M-$250M,Tier 3
ACC-00139,"Harvey, Davis and Crane",Education,United Arab Emirates,AMEA,10000,$50M-$250M,Tier 3
ACC-00140,Chambers and Sons,Manufacturing,Italy,Europe,10000,$250M-$1B,Tier 1
ACC-00141,Hernandez Inc,Education,India,WW,500,<$10M,Tier 1
ACC-00142,Riggs PLC,Agriculture,India,APAC,500,$1B+,Tier 1
ACC-00143,Gibson Ltd,Education,Japan,APAC,500,$10M-$50M,Tier 3
ACC-00144,"Lee, Horton and Snyder",Agriculture,Spain,Europe,50,$250M-$1B,Tier 2
ACC-00145,Hernandez Ltd,Manufacturing,Netherlands,Europe,50,$10M-$50M,Tier 2
ACC-00146,Stafford Inc,Agriculture,Spain,Europe,500,$250M-$1B,Tier 3
ACC-00147,Robinson-Brock,Education,United States,WW,1000,$50M-$250M,Tier 2
ACC-00148,"Holmes, Williams and Wright",Education,Germany,WW,25,$1B+,Tier 2
ACC-00149,Bryant Group,Technology,France,Europe,1000,$1B+,Tier 2
ACC-00150,"Schmidt, Hansen and Stewart",Technology,France,Europe,500,$1B+,Tier 1
ACC-00151,Salazar-Ball,Education,Saudi Arabia,AMEA,50,<$10M,Tier 3
ACC-00152,"Simmons, Meadows and Griffin",Agriculture,Australia,APAC,500,$1B+,Tier 1
ACC-00153,Manning Group,Technology,France,Europe,50,$250M-$1B,Tier 1
ACC-00154,Green-Wright,Education,Singapore,APAC,500,$250M-$1B,Tier 2
ACC-00155,"Ramirez, Strickland and Washington",Financial Services,Spain,Europe,100,$250M-$1B,Tier 1
ACC-00156,Hill Inc,Technology,Singapore,APAC,5000,$50M-$250M,Tier 3
ACC-00157,"Mitchell, Nelson and Flores",Technology,Kenya,AMEA,500,$1B+,Tier 3
ACC-00158,"Miller, Hernandez and Reyes",Financial Services,Spain,Europe,10000,$50M-$250M,Tier 2
ACC-00159,Mccarthy Inc,Education,Netherlands,Europe,250,$10M-$50M,Tier 3
ACC-00160,Russell-Daniels,Financial Services,Spain,Europe,25,$50M-$250M,Tier 3
ACC-00161,Brown-Wall,Agriculture,Spain,Europe,5000,$10M-$50M,Tier 2
ACC-00162,Stein-Silva,Financial Services,Germany,WW,1000,<$10M,Tier 2
ACC-00163,"Smith, Gilmore and Johnston",Professional Services,Australia,WW,25,$10M-$50M,Tier 2
ACC-00164,Smith-Bell,Technology,Japan,APAC,500,$50M-$250M,Tier 3
ACC-00165,Castaneda-Ashley,Agriculture,Germany,Europe,1000,$1B+,Tier 2
ACC-00166,Medina-Navarro,Agriculture,Saudi Arabia,AMEA,25,$1B+,Tier 1
ACC-00167,"Hurst, Freeman and Nelson",Agriculture,Singapore,APAC,250,<$10M,Tier 2
ACC-00168,Johnson-Rogers,Agriculture,United States,WW,10000,$10M-$50M,Tier 3
ACC-00169,"Yates, Ramsey and Pittman",Technology,United Arab Emirates,AMEA,1000,<$10M,Tier 2
ACC-00170,Hooper PLC,Manufacturing,Saudi Arabia,AMEA,100,$10M-$50M,Tier 3
ACC-00171,Meadows PLC,Professional Services,France,Europe,100,$10M-$50M,Tier 1
ACC-00172,"Alvarado, Miller and Patterson",Professional Services,France,Europe,10000,$1B+,Tier 1
ACC-00173,White-Green,Education,Singapore,APAC,10000,$50M-$250M,Tier 3
ACC-00174,Lewis-Murphy,Education,India,WW,100,<$10M,Tier 2
ACC-00175,Ramirez-Bean,Professional Services,Kenya,AMEA,5000,$50M-$250M,Tier 2
ACC-00176,King-Miller,Financial Services,Saudi Arabia,AMEA,10000,<$10M,Tier 1
ACC-00177,Curry Inc,Professional Services,Netherlands,Europe,500,$50M-$250M,Tier 1
ACC-00178,Walker-Jones,Manufacturing,Germany,Europe,25,$1B+,Tier 3
ACC-00179,"Williams, Johnson and Wright",Manufacturing,France,Europe,1000,$10M-$50M,Tier 3
ACC-00180,Howell and Sons,Professional Services,Singapore,APAC,100,<$10M,Tier 3
ACC-00181,Wells Inc,Manufacturing,Australia,WW,25,$1B+,Tier 2
ACC-00182,"Gould, Marshall and Scott",Technology,Singapore,APAC,1000,$250M-$1B,Tier 1
ACC-00183,Jackson-Lawson,Financial Services,Singapore,APAC,500,$10M-$50M,Tier 2
ACC-00184,"Higgins, Strickland and Martin",Manufacturing,Netherlands,Europe,50,$250M-$1B,Tier 1
ACC-00185,Rodriguez-Johnson,Financial Services,Japan,APAC,1000,<$10M,Tier 2
ACC-00186,Johnston-Odonnell,Manufacturing,Germany,WW,50,$250M-$1B,Tier 2
ACC-00187,Sanders-Espinoza,Professional Services,Saudi Arabia,AMEA,1000,<$10M,Tier 3
ACC-00188,Vargas Ltd,Education,India,APAC,1000,$1B+,Tier 1
ACC-00189,Garcia LLC,Agriculture,Australia,WW,500,$250M-$1B,Tier 1
ACC-00190,"Burke, Martinez and Riggs",Technology,India,APAC,500,$250M-$1B,Tier 1
ACC-00191,Reed Group,Financial Services,Germany,WW,100,$250M-$1B,Tier 2
ACC-00192,"Wood, Hunter and Peterson",Agriculture,Saudi Arabia,AMEA,100,$250M-$1B,Tier 3
ACC-00193,Short-Garcia,Education,Germany,WW,5000,$50M-$250M,Tier 1
ACC-00194,Reid-Poole,Financial Services,Saudi Arabia,AMEA,10000,$10M-$50M,Tier 2
ACC-00195,"Hernandez, Thompson and Boyd",Agriculture,India,WW,1000,<$10M,Tier 2
ACC-00196,"Nelson, Morton and Medina",Financial Services,United Arab Emirates,AMEA,10000,<$10M,Tier 3
ACC-00197,Marshall-Petersen,Agriculture,India,APAC,25,$50M-$250M,Tier 1
ACC-00198,"Adams, Christian and Rivas",Professional Services,Australia,APAC,50,$1B+,Tier 1
ACC-00199,Ramirez Group,Financial Services,Singapore,APAC,100,$1B+,Tier 1
ACC-00200,Christensen PLC,Financial Services,South Africa,AMEA,500,$10M-$50M,Tier 1
ACC-00201,"Barnett, Rogers and Snyder",Financial Services,United States,WW,1000,$10M-$50M,Tier 3
ACC-00202,White-Lewis,Technology,South Africa,AMEA,500,<$10M,Tier 1
ACC-00203,Peterson-Beard,Professional Services,Germany,Europe,50,$250M-$1B,Tier 2
ACC-00204,"Beard, Peters and Black",Professional Services,United Arab Emirates,AMEA,10000,$1B+,Tier 1
ACC-00205,Miller Ltd,Agriculture,Germany,WW,500,$250M-$1B,Tier 3
ACC-00206,Freeman-Chang,Technology,Australia,WW,5000,$250M-$1B,Tier 3
ACC-00207,"Alvarez, Joseph and West",Education,Australia,WW,50,<$10M,Tier 2
ACC-00208,Davis and Sons,Technology,Australia,APAC,500,$1B+,Tier 3
ACC-00209,Holt-Torres,Education,Kenya,AMEA,10000,$1B+,Tier 3
ACC-00210,"Wood, Tran and Cooper",Technology,Germany,Europe,250,$250M-$1B,Tier 2
ACC-00211,"Pierce, Bell and Chavez",Education,Singapore,APAC,10000,$250M-$1B,Tier 2
ACC-00212,King-Martinez,Manufacturing,Australia,WW,1000,$50M-$250M,Tier 2
ACC-00213,Stewart Ltd,Agriculture,Japan,APAC,50,<$10M,Tier 1
ACC-00214,"Tapia, Vaughn and Lee",Education,United States,WW,1000,$10M-$50M,Tier 3
ACC-00215,"Washington, Hardy and Bray",Professional Services,Germany,WW,1000,<$10M,Tier 2
ACC-00216,"Carlson, Hooper and Wall",Agriculture,Saudi Arabia,AMEA,25,$50M-$250M,Tier 3
ACC-00217,Perez-White,Manufacturing,United Arab Emirates,AMEA,250,$10M-$50M,Tier 3
ACC-00218,Erickson and Sons,Financial Services,Germany,Europe,1000,$1B+,Tier 2
ACC-00219,Williams-Brown,Manufacturing,Germany,WW,250,$250M-$1B,Tier 3
ACC-00220,Terry-Martinez,Professional Services,India,WW,25,$10M-$50M,Tier 2
ACC-00221,Garcia-Smith,Manufacturing,Kenya,AMEA,25,$10M-$50M,Tier 1
ACC-00222,Harrison-Alexander,Technology,France,Europe,25,<$10M,Tier 3
ACC-00223,Sheppard LLC,Education,Japan,APAC,10000,$50M-$250M,Tier 1
ACC-00224,Wilson-Jones,Manufacturing,Kenya,AMEA,50,<$10M,Tier 1
ACC-00225,Jones-Soto,Professional Services,India,APAC,50,$50M-$250M,Tier 2
ACC-00226,Hernandez PLC,Education,Italy,Europe,10000,$250M-$1B,Tier 2
ACC-00227,Miller-Wright,Professional Services,India,APAC,1000,$250M-$1B,Tier 1
ACC-00228,"Duran, Obrien and Gibbs",Agriculture,Saudi Arabia,AMEA,500,<$10M,Tier 1
ACC-00229,Rowe Group,Professional Services,Germany,Europe,25,$10M-$50M,Tier 2
ACC-00230,Kerr-Evans,Financial Services,Singapore,APAC,500,$50M-$250M,Tier 1
ACC-00231,"Branch, Torres and Oliver",Education,Australia,WW,100,$10M-$50M,Tier 2
ACC-00232,"Choi, Garcia and Farmer",Professional Services,Singapore,APAC,50,$250M-$1B,Tier 3
ACC-00233,"Clark, Guerrero and Moore",Education,United States,WW,10000,<$10M,Tier 2
ACC-00234,Arnold and Sons,Professional Services,Spain,Europe,5000,$50M-$250M,Tier 1
ACC-00235,Ortiz Ltd,Technology,Netherlands,Europe,100,$1B+,Tier 2
ACC-00236,"Harrison, Johnson and Roberts",Technology,Saudi Arabia,AMEA,50,$10M-$50M,Tier 2
ACC-00237,Warner-Gibson,Professional Services,Germany,Europe,5000,$50M-$250M,Tier 3
ACC-00238,"Hall, Baker and Moody",Financial Services,Kenya,AMEA,100,<$10M,Tier 3
ACC-00239,"Guerrero, Peck and Coleman",Professional Services,Germany,WW,250,$50M-$250M,Tier 2
ACC-00240,"Walker, Hernandez and Baker",Financial Services,India,APAC,100,$50M-$250M,Tier 1
ACC-00241,Jones and Sons,Professional Services,Australia,APAC,50,$10M-$50M,Tier 3
ACC-00242,Larson-Holloway,Education,Italy,Europe,10000,$1B+,Tier 3
ACC-00243,Gonzales-Harrison,Agriculture,Kenya,AMEA,100,$250M-$1B,Tier 1
ACC-00244,Lyons-Bender,Education,Netherlands,Europe,500,$1B+,Tier 1
ACC-00245,"Fernandez, Kim and George",Professional Services,United Arab Emirates,AMEA,500,$250M-$1B,Tier 2
ACC-00246,Navarro-Munoz,Technology,India,WW,500,<$10M,Tier 3
ACC-00247,Davis Ltd,Professional Services,Germany,WW,5000,$250M-$1B,Tier 3
ACC-00248,"Matthews, Smith and Hubbard",Education,Germany,WW,250,$50M-$250M,Tier 3
ACC-00249,Johnston-Hines,Professional Services,France,Europe,25,$250M-$1B,Tier 1
ACC-00250,Ruiz Ltd,Agriculture,United Arab Emirates,AMEA,100,<$10M,Tier 1
ACC-00251,Moon-White,Education,Italy,Europe,100,$50M-$250M,Tier 2
ACC-00252,"Graham, Olsen and Costa",Education,Saudi Arabia,AMEA,1000,$1B+,Tier 1
ACC-00253,Bailey-Cook,Technology,Kenya,AMEA,50,$1B+,Tier 3
ACC-00254,"Garcia, Martin and Jenkins",Manufacturing,Netherlands,Europe,100,$50M-$250M,Tier 1
ACC-00255,Roberts-Landry,Manufacturing,Singapore,APAC,5000,$10M-$50M,Tier 3
ACC-00256,"Johnson, Miller and King",Manufacturing,Germany,WW,5000,$50M-$250M,Tier 1
ACC-00257,Cordova Group,Agriculture,Australia,WW,1000,<$10M,Tier 2
ACC-00258,"Bryan, Smith and Booth",Financial Services,South Africa,AMEA,1000,$250M-$1B,Tier 1
ACC-00259,Gutierrez-Lopez,Financial Services,Australia,APAC,50,$50M-$250M,Tier 1
ACC-00260,Dean-Jimenez,Agriculture,India,WW,100,$1B+,Tier 2
ACC-00261,Wolf-Harris,Financial Services,Australia,APAC,100,$250M-$1B,Tier 1
ACC-00262,"Anderson, Roberts and Gilmore",Manufacturing,France,Europe,10000,$1B+,Tier 2
ACC-00263,Martinez-Dudley,Financial Services,Italy,Europe,250,$50M-$250M,Tier 2
ACC-00264,"Lloyd, Mckinney and Collins",Manufacturing,Japan,APAC,10000,$50M-$250M,Tier 2
ACC-00265,Tran Inc,Financial Services,France,Europe,100,$50M-$250M,Tier 1
ACC-00266,Gay Inc,Manufacturing,Italy,Europe,50,$1B+,Tier 1
ACC-00267,Valentine-Holland,Technology,South Africa,AMEA,500,$250M-$1B,Tier 3
ACC-00268,Jimenez Ltd,Education,India,APAC,250,$250M-$1B,Tier 2
ACC-00269,Hicks-Hill,Education,United States,WW,5000,$1B+,Tier 2
ACC-00270,Baird-Sanchez,Education,India,APAC,1000,$10M-$50M,Tier 1
ACC-00271,"Thomas, Lee and Greene",Technology,Kenya,AMEA,100,$10M-$50M,Tier 1
ACC-00272,"Suarez, Shields and Hill",Education,South Africa,AMEA,10000,$250M-$1B,Tier 3
ACC-00273,Morgan-French,Technology,United States,WW,500,$10M-$50M,Tier 1
ACC-00274,Hoover-Campbell,Technology,Netherlands,Europe,250,$50M-$250M,Tier 1
ACC-00275,Monroe-Carpenter,Financial Services,Australia,WW,10000,<$10M,Tier 1
ACC-00276,"Burns, Hernandez and Ryan",Professional Services,Italy,Europe,25,$1B+,Tier 3
ACC-00277,Cook-Hines,Agriculture,Australia,APAC,500,$250M-$1B,Tier 1
ACC-00278,Gibson-Morris,Financial Services,Saudi Arabia,AMEA,100,<$10M,Tier 3
ACC-00279,Pollard and Sons,Technology,United Arab Emirates,AMEA,5000,$250M-$1B,Tier 1
ACC-00280,"Reyes, Chase and Jenkins",Manufacturing,Netherlands,Europe,25,$50M-$250M,Tier 1
ACC-00281,Garner-Thornton,Financial Services,United Arab Emirates,AMEA,1000,$10M-$50M,Tier 1
ACC-00282,Hughes-Alvarado,Professional Services,Kenya,AMEA,100,$250M-$1B,Tier 3
ACC-00283,"Pollard, Simpson and Johnson",Agriculture,France,Europe,100,<$10M,Tier 3
ACC-00284,"Sanford, Rivera and Garcia",Technology,Netherlands,Europe,250,<$10M,Tier 1
ACC-00285,Garcia-Lozano,Manufacturing,India,WW,5000,$1B+,Tier 2
ACC-00286,Bowen Group,Technology,South Africa,AMEA,500,$50M-$250M,Tier 1
ACC-00287,"Booker, Jones and Harrington",Manufacturing,United Arab Emirates,AMEA,1000,$250M-$1B,Tier 2
ACC-00288,Morgan-Schwartz,Education,Netherlands,Europe,100,$250M-$1B,Tier 3
ACC-00289,"Miller, Murphy and Craig",Manufacturing,Italy,Europe,500,<$10M,Tier 3
ACC-00290,"James, Stewart and Higgins",Technology,Spain,Europe,100,$1B+,Tier 2
ACC-00291,Brennan-Johnson,Technology,United Arab Emirates,AMEA,1000,$50M-$250M,Tier 2
ACC-00292,Young Ltd,Professional Services,Spain,Europe,100,$250M-$1B,Tier 2
ACC-00293,Bright-Francis,Technology,Netherlands,Europe,5000,$50M-$250M,Tier 3
ACC-00294,Good-Hodges,Technology,Australia,WW,1000,$1B+,Tier 3
ACC-00295,"Brennan, Wallace and Benson",Technology,Australia,APAC,10000,<$10M,Tier 1
ACC-00296,Williams Inc,Financial Services,India,WW,1000,$250M-$1B,Tier 3
ACC-00297,Howard-Jordan,Professional Services,United Kingdom,WW,10000,$50M-$250M,Tier 2
