activity_id,contact_id,campaign_id,activity_type,channel,timestamp
ACT-0024944,CON-008723,CMP-0002,Landing Page View,Web,2026-06-22T03:22:35.663244
ACT-0017256,CON-009489,CMP-0017,Landing Page View,Web,2026-09-10T03:55:43.083515
ACT-0001781,CON-008745,CMP-0002,Email Sent,Email,2026-06-27T11:13:02.913456
ACT-0008247,CON-005642,CMP-0008,Email Opened,Email,2026-09-10T07:12:08.921128
ACT-0010790,CON-007461,CMP-0015,Email Opened,Email,2026-07-19T06:37:35.996332
ACT-0001461,CON-000032,CMP-0010,Email Sent,Email,2026-04-02T12:21:47.673642
ACT-0017620,CON-000990,CMP-0013,Sales Accepted,Sales,2026-06-28T21:51:28.843157
ACT-0022373,CON-000742,CMP-0009,Webinar Registered,Webinar,2026-08-01T03:04:07.199603
ACT-0013282,CON-001579,CMP-0006,Email Clicked,Email,2026-08-21T23:51:16.276810
ACT-0005646,CON-008085,CMP-0022,Email Sent,Email,2026-05-23T11:44:33.911258
ACT-0000325,CON-008803,CMP-0023,Email Sent,Email,2026-08-09T08:11:19.250427
ACT-0019132,CON-006707,CMP-0019,Webinar Registered,Webinar,2026-05-01T21:39:55.723953
ACT-0011457,CON-008748,CMP-0002,Email Opened,Email,2026-06-08T17:41:32.037131
ACT-0019180,CON-002491,CMP-0003,Sales Accepted,Sales,2026-09-10T17:01:30.338785
ACT-0024685,CON-002058,CMP-0017,Webinar Attended,Webinar,2026-08-08T13:53:23.514627
ACT-0007029,CON-008565,CMP-0020,Email Sent,Email,2026-05-27T14:47:00.071929
ACT-0014189,CON-002626,CMP-0010,Sales Accepted,Sales,2026-07-31T11:48:30.124069
ACT-0008475,CON-007278,CMP-0007,Email Opened,Email,2026-04-27T19:51:04.366999
ACT-0020473,CON-005439,CMP-0022,Webinar Attended,Webinar,2026-07-10T15:20:32.944860
ACT-0020583,CON-008507,CMP-0009,Landing Page View,Web,2026-08-30T17:00:52.057126
ACT-0008267,CON-008717,CMP-0006,Email Opened,Email,2026-03-22T01:07:06.449518
ACT-0009571,CON-001527,CMP-0006,Email Opened,Email,2026-08-06T03:07:55.702887
ACT-0003533,CON-007927,CMP-0009,Email Sent,Email,2026-03-23T18:23:19.381256
ACT-0004376,CON-002540,CMP-0016,Email Sent,Email,2026-08-21T08:17:28.461017
ACT-0022308,CON-006480,CMP-0015,Landing Page View,Web,2026-05-21T07:53:27.547645
ACT-0001129,CON-007438,CMP-0017,Email Sent,Email,2026-04-26T15:39:09.798863
ACT-0016450,CON-004193,CMP-0024,Webinar Attended,Webinar,2026-03-28T05:02:47.707577
ACT-0005339,CON-003482,CMP-0003,Email Sent,Email,2026-08-17T14:41:28.382135
ACT-0020483,CON-005201,CMP-0008,Webinar Attended,Webinar,2026-04-04T02:37:39.949586
ACT-0012839,CON-000497,CMP-0005,Email Clicked,Email,2026-08-16T22:52:37.658966
ACT-0022737,CON-005903,CMP-0021,Landing Page View,Web,2026-03-28T08:24:34.687685
ACT-0000660,CON-003149,CMP-0025,Email Sent,Email,2026-07-03T02:25:21.979021
ACT-0012862,CON-006188,CMP-0020,Email Clicked,Email,2026-04-10T01:35:39.560798
ACT-0010263,CON-001129,CMP-0006,Email Opened,Email,2026-08-04T12:10:41.065588
ACT-0004327,CON-000003,CMP-0005,Email Sent,Email,2026-04-23T09:28:09.278347
ACT-0005140,CON-001136,CMP-0015,Email Sent,Email,2026-07-17T06:01:26.833962
ACT-0008597,CON-009269,CMP-0005,Email Opened,Email,2026-05-17T13:42:24.053223
ACT-0014771,CON-007244,CMP-0013,Sales Accepted,Sales,2026-05-08T21:54:37.736090
ACT-0000026,CON-007527,CMP-0002,Email Sent,Email,2026-06-27T11:01:14.198579
ACT-0007848,CON-004091,CMP-0009,Email Sent,Email,2026-07-04T09:01:24.006056
ACT-0004620,CON-007073,CMP-0008,Email Sent,Email,2026-06-21T13:00:47.267486
ACT-0018732,CON-002937,CMP-0020,Webinar Registered,Webinar,2026-07-27T02:01:34.329702
ACT-0014169,CON-009746,CMP-0005,Webinar Attended,Webinar,2026-07-28T09:16:37.629730
ACT-0004487,CON-005372,CMP-0020,Email Sent,Email,2026-04-18T22:04:41.437652
ACT-0010684,CON-007906,CMP-0005,Email Opened,Email,2026-09-10T05:33:32.358345
ACT-0006735,CON-000412,CMP-0006,Email Sent,Email,2026-08-06T05:53:41.606637
ACT-0000669,CON-007501,CMP-0009,Email Sent,Email,2026-04-13T20:39:30.435215
ACT-0021080,CON-006905,CMP-0018,Webinar Attended,Webinar,2026-05-21T07:49:08.861355
ACT-0016488,CON-009497,CMP-0013,Sales Accepted,Sales,2026-08-04T22:53:15.549172
ACT-0022292,CON-009427,CMP-0008,Webinar Attended,Webinar,2026-08-13T14:37:39.241001
ACT-0000723,CON-004728,CMP-0001,Email Sent,Email,2026-06-08T18:05:27.503970
ACT-0020200,CON-009822,CMP-0002,Landing Page View,Web,2026-07-11T14:06:25.786554
ACT-0021759,CON-008375,CMP-0005,Sales Accepted,Sales,2026-05-09T23:07:11.996642
ACT-0018250,CON-001988,CMP-0006,Sales Accepted,Sales,2026-09-02T11:02:46.053450
ACT-0020676,CON-004052,CMP-0020,Sales Accepted,Sales,2026-07-07T05:19:23.859375
ACT-0018076,CON-004884,CMP-0001,Sales Accepted,Sales,2026-05-07T16:38:42.239345
ACT-0015181,CON-002525,CMP-0011,Sales Accepted,Sales,2026-07-28T08:57:52.265785
ACT-0015828,CON-003877,CMP-0004,Webinar Attended,Webinar,2026-09-06T14:52:52.598768
ACT-0023030,CON-006740,CMP-0019,Webinar Registered,Webinar,2026-06-27T05:44:04.063218
ACT-0017317,CON-002234,CMP-0006,Landing Page View,Web,2026-07-03T09:06:46.770371
ACT-0006824,CON-000939,CMP-0023,Email Sent,Email,2026-08-07T04:38:50.947719
ACT-0013271,CON-005014,CMP-0013,Email Clicked,Email,2026-07-24T08:21:00.734989
ACT-0018591,CON-007909,CMP-0015,Sales Accepted,Sales,2026-07-01T22:28:03.550660
ACT-0021827,CON-007757,CMP-0015,Sales Accepted,Sales,2026-08-24T01:00:26.774786
ACT-0012151,CON-005369,CMP-0016,Email Opened,Email,2026-07-22T16:47:08.579031
ACT-0009979,CON-003442,CMP-0012,Email Opened,Email,2026-04-07T15:58:24.937481
ACT-0018434,CON-006564,CMP-0016,Landing Page View,Web,2026-03-23T08:00:05.397665
ACT-0014409,CON-000075,CMP-0017,Sales Accepted,Sales,2026-03-31T08:31:59.992931
ACT-0014849,CON-006169,CMP-0020,Landing Page View,Web,2026-08-16T17:04:19.078458
ACT-0004280,CON-002062,CMP-0005,Email Sent,Email,2026-04-20T07:17:15.770434
ACT-0014127,CON-001193,CMP-0022,Webinar Attended,Webinar,2026-09-08T19:02:17.930043
ACT-0023631,CON-006375,CMP-0017,Landing Page View,Web,2026-06-07T01:44:19.330194
ACT-0013182,CON-002622,CMP-0010,Email Clicked,Email,2026-05-22T23:46:08.602300
ACT-0013072,CON-000631,CMP-0004,Email Clicked,Email,2026-07-10T13:12:45.080145
ACT-0006552,CON-009365,CMP-0011,Email Sent,Email,2026-08-01T12:50:23.375671
ACT-0004216,CON-004447,CMP-0001,Email Sent,Email,2026-09-01T10:58:22.407777
ACT-0010481,CON-008426,CMP-0005,Email Opened,Email,2026-07-19T07:52:44.580318
ACT-0011898,CON-000244,CMP-0024,Email Opened,Email,2026-08-30T15:09:54.313091
ACT-0024442,CON-008747,CMP-0008,Landing Page View,Web,2026-06-17T15:38:37.846453
ACT-0010272,CON-005410,CMP-0014,Email Opened,Email,2026-04-18T14:20:52.868883
ACT-0021175,CON-000737,CMP-0016,Webinar Registered,Webinar,2026-04-22T10:33:50.850283
ACT-0015794,CON-005514,CMP-0003,Webinar Registered,Webinar,2026-05-30T09:28:26.094372
ACT-0009789,CON-005158,CMP-0020,Email Opened,Email,2026-08-22T06:16:43.667527
ACT-0008384,CON-008097,CMP-0005,Email Opened,Email,2026-08-07T23:45:17.423649
ACT-0024660,CON-000415,CMP-0007,Landing Page View,Web,2026-07-03T11:18:10.568041
ACT-0011079,CON-004379,CMP-0015,Email Opened,Email,2026-08-27T10:18:12.435245
ACT-0017960,CON-000519,CMP-0008,Landing Page View,Web,2026-04-27T13:59:57.257554
ACT-0012029,CON-000235,CMP-0025,Email Opened,Email,2026-08-06T16:41:27.224877
ACT-0004753,CON-003199,CMP-0006,Email Sent,Email,2026-07-21T07:08:34.515113
ACT-0016683,CON-001404,CMP-0016,Webinar Attended,Webinar,2026-07-24T23:23:34.587616
ACT-0003265,CON-009233,CMP-0019,Email Sent,Email,2026-06-02T18:38:50.506385
ACT-0021800,CON-006745,CMP-0015,Webinar Registered,Webinar,2026-06-18T13:51:01.785303
ACT-0022877,CON-005171,CMP-0025,Webinar Attended,Webinar,2026-07-23T16:06:04.731939
ACT-0015877,CON-008827,CMP-0011,Webinar Attended,Webinar,2026-08-19T15:34:26.171228
ACT-0023888,CON-000340,CMP-0017,Webinar Registered,Webinar,2026-03-25T23:57:50.726868
ACT-0021623,CON-004803,CMP-0025,Webinar Attended,Webinar,2026-06-18T19:55:06.175111
ACT-0017497,CON-003061,CMP-0003,Webinar Registered,Webinar,2026-05-05T10:36:09.903262
ACT-0018728,CON-004519,CMP-0025,Sales Accepted,Sales,2026-07-06T03:16:12.296735
ACT-0005129,CON-008628,CMP-0002,Email Sent,Email,2026-06-28T22:02:19.527517
ACT-0004308,CON-007423,CMP-0017,Email Sent,Email,2026-07-20T00:49:21.264128
ACT-0010022,CON-005093,CMP-0006,Email Opened,Email,2026-05-23T14:18:59.360174
ACT-0015678,CON-001856,CMP-0011,Sales Accepted,Sales,2026-04-09T22:38:27.230347
ACT-0017073,CON-004277,CMP-0009,Webinar Attended,Webinar,2026-09-02T17:23:34.924467
ACT-0011352,CON-002637,CMP-0009,Email Opened,Email,2026-04-30T22:52:33.174570
ACT-0007293,CON-006007,CMP-0003,Email Sent,Email,2026-04-22T03:56:29.101611
ACT-0010049,CON-004997,CMP-0004,Email Opened,Email,2026-08-15T13:28:21.143907
ACT-0021293,CON-006938,CMP-0003,Landing Page View,Web,2026-08-30T11:55:32.704669
ACT-0017316,CON-003096,CMP-0020,Webinar Registered,Webinar,2026-07-20T05:08:01.412378
ACT-0012216,CON-009810,CMP-0007,Email Opened,Email,2026-03-25T10:47:34.086075
ACT-0020721,CON-006404,CMP-0010,Webinar Registered,Webinar,2026-06-28T13:40:28.997886
ACT-0012861,CON-000540,CMP-0012,Email Clicked,Email,2026-04-26T09:51:08.128802
ACT-0021256,CON-003915,CMP-0013,Sales Accepted,Sales,2026-07-19T05:57:12.469146
ACT-0001661,CON-004900,CMP-0001,Email Sent,Email,2026-08-08T08:45:26.178856
ACT-0005385,CON-004883,CMP-0024,Email Sent,Email,2026-05-16T15:01:12.436662
ACT-0018743,CON-007991,CMP-0014,Sales Accepted,Sales,2026-08-18T12:12:28.095895
ACT-0016613,CON-003366,CMP-0002,Sales Accepted,Sales,2026-07-07T21:30:57.094170
ACT-0022966,CON-009406,CMP-0021,Landing Page View,Web,2026-06-18T21:31:26.513964
ACT-0004798,CON-004253,CMP-0006,Email Sent,Email,2026-08-07T05:11:39.405646
ACT-0001769,CON-006663,CMP-0022,Email Sent,Email,2026-07-01T23:03:56.095630
ACT-0003091,CON-003660,CMP-0002,Email Sent,Email,2026-08-14T23:52:40.603946
ACT-0007880,CON-001484,CMP-0015,Email Sent,Email,2026-05-16T09:43:08.836103
ACT-0001820,CON-000653,CMP-0020,Email Sent,Email,2026-04-26T12:04:39.578313
ACT-0023795,CON-008703,CMP-0024,Webinar Attended,Webinar,2026-08-27T11:15:43.580976
ACT-0010169,CON-003625,CMP-0023,Email Opened,Email,2026-09-02T10:36:40.397573
ACT-0009966,CON-004900,CMP-0015,Email Opened,Email,2026-04-17T07:42:39.309261
ACT-0002750,CON-007841,CMP-0024,Email Sent,Email,2026-05-22T05:32:30.109126
ACT-0013893,CON-001591,CMP-0003,Form Submitted,Email,2026-09-11T11:44:03.828977
ACT-0023560,CON-009642,CMP-0019,Webinar Attended,Webinar,2026-06-28T10:10:00.992112
ACT-0019854,CON-009522,CMP-0022,Webinar Registered,Webinar,2026-09-03T06:37:30.050252
ACT-0010475,CON-005675,CMP-0007,Email Opened,Email,2026-06-02T00:47:59.225275
ACT-0003041,CON-002317,CMP-0009,Email Sent,Email,2026-06-30T13:19:20.070441
ACT-0007001,CON-003661,CMP-0003,Email Sent,Email,2026-04-26T04:46:29.432927
ACT-0024712,CON-001104,CMP-0006,Sales Accepted,Sales,2026-04-30T07:27:13.104919
ACT-0017297,CON-006713,CMP-0025,Webinar Attended,Webinar,2026-06-11T16:41:48.471142
ACT-0014978,CON-000628,CMP-0009,Landing Page View,Web,2026-07-05T02:00:27.617802
ACT-0010244,CON-007432,CMP-0025,Email Opened,Email,2026-08-11T14:39:01.446326
ACT-0011173,CON-003062,CMP-0012,Email Opened,Email,2026-08-08T01:07:22.721986
ACT-0007274,CON-007373,CMP-0015,Email Sent,Email,2026-04-18T09:34:12.305119
ACT-0000981,CON-008249,CMP-0021,Email Sent,Email,2026-09-10T23:28:51.731360
ACT-0000020,CON-005555,CMP-0021,Email Sent,Email,2026-08-03T23:01:44.419079
ACT-0022337,CON-000031,CMP-0016,Webinar Attended,Webinar,2026-05-09T22:00:24.730796
ACT-0010058,CON-007528,CMP-0024,Email Opened,Email,2026-08-26T16:06:50.484775
ACT-0009554,CON-004102,CMP-0005,Email Opened,Email,2026-04-14T22:12:57.743247
ACT-0003387,CON-003315,CMP-0016,Email Sent,Email,2026-03-24T12:51:29.456122
ACT-0004088,CON-005339,CMP-0011,Email Sent,Email,2026-06-21T09:39:46.761721
ACT-0024883,CON-004942,CMP-0008,Webinar Registered,Webinar,2026-07-12T22:21:59.348577
ACT-0011483,CON-006244,CMP-0017,Email Opened,Email,2026-08-25T17:02:46.741400
ACT-0024410,CON-006401,CMP-0008,Sales Accepted,Sales,2026-08-23T08:14:03.254569
ACT-0015297,CON-008718,CMP-0016,Sales Accepted,Sales,2026-04-08T03:25:20.982385
ACT-0009304,CON-007074,CMP-0019,Email Opened,Email,2026-05-02T06:51:27.078454
ACT-0009980,CON-005430,CMP-0013,Email Opened,Email,2026-08-13T15:01:18.364030
ACT-0003127,CON-006065,CMP-0008,Email Sent,Email,2026-07-01T02:35:20.794471
ACT-0018508,CON-006231,CMP-0006,Webinar Registered,Webinar,2026-03-20T02:21:01.786677
ACT-0022505,CON-006592,CMP-0020,Webinar Attended,Webinar,2026-06-13T13:27:43.446517
ACT-0020608,CON-006293,CMP-0002,Landing Page View,Web,2026-05-06T00:18:50.020488
ACT-0006372,CON-006458,CMP-0018,Email Sent,Email,2026-07-22T01:21:17.155936
ACT-0001747,CON-001786,CMP-0019,Email Sent,Email,2026-05-28T22:01:53.132370
ACT-0002681,CON-006464,CMP-0023,Email Sent,Email,2026-05-17T01:27:18.513734
ACT-0022659,CON-001865,CMP-0003,Sales Accepted,Sales,2026-08-19T05:57:12.123831
ACT-0000237,CON-002242,CMP-0017,Email Sent,Email,2026-03-20T02:55:58.476713
ACT-0020295,CON-008556,CMP-0004,Sales Accepted,Sales,2026-04-30T05:22:12.274897
ACT-0004484,CON-008359,CMP-0025,Email Sent,Email,2026-09-07T05:59:15.107730
ACT-0010395,CON-009286,CMP-0006,Email Opened,Email,2026-05-09T06:19:48.373819
ACT-0017264,CON-006647,CMP-0021,Webinar Attended,Webinar,2026-08-29T21:34:32.509300
ACT-0019710,CON-001728,CMP-0012,Webinar Attended,Webinar,2026-08-22T10:13:14.072780
ACT-0001347,CON-004097,CMP-0015,Email Sent,Email,2026-05-03T18:59:05.953241
ACT-0004263,CON-005292,CMP-0007,Email Sent,Email,2026-03-28T06:36:41.390561
ACT-0023108,CON-000449,CMP-0006,Webinar Attended,Webinar,2026-08-03T19:27:28.591150
ACT-0013340,CON-004330,CMP-0020,Email Clicked,Email,2026-04-27T14:06:50.548749
ACT-0009107,CON-009102,CMP-0025,Email Opened,Email,2026-07-10T22:40:58.450073
ACT-0000734,CON-004523,CMP-0025,Email Sent,Email,2026-04-12T19:59:19.977074
ACT-0009427,CON-007951,CMP-0019,Email Opened,Email,2026-05-07T12:08:04.804904
ACT-0003611,CON-002802,CMP-0007,Email Sent,Email,2026-04-14T10:58:30.356111
ACT-0008670,CON-001809,CMP-0015,Email Opened,Email,2026-03-21T21:17:42.498012
ACT-0020722,CON-009874,CMP-0015,Webinar Attended,Webinar,2026-05-11T18:04:50.557139
ACT-0023020,CON-008925,CMP-0007,Webinar Attended,Webinar,2026-08-17T19:05:48.135022
ACT-0002429,CON-003494,CMP-0016,Email Sent,Email,2026-04-07T23:34:17.678417
ACT-0019988,CON-008092,CMP-0002,Sales Accepted,Sales,2026-06-21T07:13:55.133914
ACT-0008787,CON-002181,CMP-0012,Email Opened,Email,2026-08-01T23:02:28.519818
ACT-0004735,CON-003221,CMP-0006,Email Sent,Email,2026-09-01T23:04:49.321133
ACT-0006464,CON-000121,CMP-0014,Email Sent,Email,2026-05-03T15:10:49.207007
ACT-0007638,CON-006112,CMP-0021,Email Sent,Email,2026-05-17T21:53:13.496482
ACT-0018979,CON-003880,CMP-0014,Webinar Registered,Webinar,2026-06-02T16:58:47.822820
ACT-0016085,CON-006619,CMP-0001,Sales Accepted,Sales,2026-08-18T15:05:14.960887
ACT-0015917,CON-002852,CMP-0015,Landing Page View,Web,2026-06-03T15:52:13.089724
ACT-0020685,CON-008554,CMP-0001,Webinar Attended,Webinar,2026-07-30T02:53:03.293214
ACT-0012095,CON-008258,CMP-0010,Email Opened,Email,2026-09-11T09:51:24.382208
ACT-0012129,CON-000469,CMP-0008,Email Opened,Email,2026-09-09T15:02:12.137607
ACT-0016745,CON-008147,CMP-0020,Webinar Registered,Webinar,2026-08-26T10:17:36.090727
ACT-0017432,CON-009810,CMP-0025,Webinar Attended,Webinar,2026-06-25T06:26:00.180515
ACT-0008191,CON-007741,CMP-0001,Email Opened,Email,2026-06-30T20:51:35.829488
ACT-0007377,CON-005998,CMP-0004,Email Sent,Email,2026-04-18T07:32:04.447412
ACT-0008452,CON-008613,CMP-0013,Email Opened,Email,2026-09-11T10:15:42.098754
ACT-0006798,CON-009437,CMP-0009,Email Sent,Email,2026-04-19T05:51:02.421413
ACT-0013357,CON-007583,CMP-0009,Email Clicked,Email,2026-05-18T18:46:20.943301
ACT-0023630,CON-000746,CMP-0023,Landing Page View,Web,2026-06-08T20:22:56.704944
ACT-0006504,CON-007361,CMP-0018,Email Sent,Email,2026-08-14T22:09:18.496122
ACT-0021769,CON-002844,CMP-0024,Landing Page View,Web,2026-08-05T12:21:46.900568
ACT-0006895,CON-005428,CMP-0014,Email Sent,Email,2026-06-17T03:40:55.461823
ACT-0007643,CON-003909,CMP-0017,Email Sent,Email,2026-06-03T19:06:05.786662
ACT-0011338,CON-008185,CMP-0021,Email Opened,Email,2026-05-27T06:27:55.176188
ACT-0011167,CON-008704,CMP-0025,Email Opened,Email,2026-05-12T15:55:41.279233
ACT-0013248,CON-007525,CMP-0019,Email Clicked,Email,2026-07-16T16:14:46.026947
ACT-0020188,CON-001783,CMP-0011,Landing Page View,Web,2026-07-14T14:18:13.718029
ACT-0006731,CON-002533,CMP-0002,Email Sent,Email,2026-04-23T06:48:40.717560
ACT-0010001,CON-000597,CMP-0023,Email Opened,Email,2026-03-22T19:27:14.971226
ACT-0002270,CON-009826,CMP-0004,Email Sent,Email,2026-05-13T19:28:10.616698
ACT-0003969,CON-004602,CMP-0006,Email Sent,Email,2026-07-14T04:26:48.497007
ACT-0017289,CON-004809,CMP-0023,Webinar Registered,Webinar,2026-03-26T21:25:28.466208
ACT-0022478,CON-009197,CMP-0013,Webinar Registered,Webinar,2026-09-01T23:38:15.734450
ACT-0014389,CON-001078,CMP-0025,Webinar Attended,Webinar,2026-06-29T13:49:47.743386
ACT-0003544,CON-009577,CMP-0005,Email Sent,Email,2026-08-15T12:06:17.500303
ACT-0001335,CON-001694,CMP-0005,Email Sent,Email,2026-07-04T02:52:59.795636
ACT-0017812,CON-007467,CMP-0016,Landing Page View,Web,2026-07-27T19:17:10.668919
ACT-0009226,CON-004687,CMP-0019,Email Opened,Email,2026-07-24T15:31:46.593412
ACT-0007819,CON-006127,CMP-0012,Email Sent,Email,2026-05-27T14:21:22.340433
ACT-0021843,CON-009527,CMP-0020,Sales Accepted,Sales,2026-05-19T03:55:47.624923
ACT-0022429,CON-001778,CMP-0019,Sales Accepted,Sales,2026-09-09T03:07:27.634823
ACT-0019778,CON-006996,CMP-0007,Webinar Registered,Webinar,2026-07-13T20:04:47.550185
ACT-0005720,CON-008985,CMP-0006,Email Sent,Email,2026-06-04T18:30:31.688934
ACT-0011901,CON-009208,CMP-0008,Email Opened,Email,2026-03-25T03:42:43.782548
ACT-0003656,CON-006382,CMP-0021,Email Sent,Email,2026-07-23T00:06:51.733307
ACT-0004800,CON-007937,CMP-0004,Email Sent,Email,2026-08-06T08:24:39.439824
ACT-0020214,CON-009778,CMP-0013,Landing Page View,Web,2026-08-29T15:04:57.052008
ACT-0017530,CON-005966,CMP-0019,Sales Accepted,Sales,2026-04-29T19:55:00.670836
ACT-0003208,CON-003207,CMP-0001,Email Sent,Email,2026-08-26T03:42:52.368484
ACT-0014812,CON-003735,CMP-0003,Webinar Registered,Webinar,2026-05-03T20:39:00.475610
ACT-0011117,CON-004582,CMP-0025,Email Opened,Email,2026-07-30T08:02:08.864903
ACT-0003088,CON-005232,CMP-0005,Email Sent,Email,2026-06-13T14:42:17.986590
ACT-0016306,CON-001490,CMP-0024,Webinar Registered,Webinar,2026-04-04T17:54:35.390419
ACT-0017998,CON-001403,CMP-0005,Sales Accepted,Sales,2026-09-10T22:32:26.171534
ACT-0021398,CON-004640,CMP-0007,Webinar Registered,Webinar,2026-03-19T04:50:29.645540
ACT-0002715,CON-008912,CMP-0006,Email Sent,Email,2026-08-21T02:25:38.327792
ACT-0000832,CON-002637,CMP-0009,Email Sent,Email,2026-04-30T22:52:33.174570
ACT-0016533,CON-008555,CMP-0004,Webinar Registered,Webinar,2026-08-27T16:12:21.736179
ACT-0022717,CON-008239,CMP-0001,Landing Page View,Web,2026-08-15T18:05:44.730695
ACT-0020967,CON-007008,CMP-0024,Landing Page View,Web,2026-03-21T23:48:31.024595
ACT-0012819,CON-006256,CMP-0011,Email Clicked,Email,2026-08-28T23:37:02.157744
ACT-0016994,CON-007894,CMP-0018,Webinar Registered,Webinar,2026-06-06T18:06:56.559018
ACT-0008170,CON-000108,CMP-0007,Email Opened,Email,2026-03-18T06:06:28.735289
ACT-0002046,CON-005677,CMP-0014,Email Sent,Email,2026-07-15T03:54:14.940736
ACT-0006325,CON-009413,CMP-0003,Email Sent,Email,2026-08-22T21:55:21.985705
ACT-0015063,CON-002488,CMP-0019,Sales Accepted,Sales,2026-04-16T22:06:14.073259
ACT-0016031,CON-006314,CMP-0004,Sales Accepted,Sales,2026-08-02T17:35:38.556385
ACT-0014488,CON-006586,CMP-0002,Webinar Attended,Webinar,2026-04-02T12:42:42.312598
ACT-0010505,CON-005811,CMP-0021,Email Opened,Email,2026-06-25T02:43:46.012895
ACT-0000653,CON-002565,CMP-0025,Email Sent,Email,2026-05-22T12:15:16.601420
ACT-0009292,CON-004703,CMP-0021,Email Opened,Email,2026-04-19T07:05:53.412001
ACT-0018839,CON-000059,CMP-0003,Sales Accepted,Sales,2026-05-27T13:48:13.544169
